cpu,frequency_hz,u_volt_min,u_volt_target,u_volt_max,u_amp,u_watt,path
cpu10,2487000000,1000000,1000000,1000000,406000,1906000,/sys/kernel/debug/opp/cpu10/opp:2487000000/supply-0
cpu10,2350000000,900000,900000,900000,338000,1602000,/sys/kernel/debug/opp/cpu10/opp:2350000000/supply-0
cpu10,2237000000,1000000,1000000,1000000,284000,1405000,/sys/kernel/debug/opp/cpu10/opp:2237000000/supply-0
cpu10,2120000000,900000,900000,900000,250000,1238000,/sys/kernel/debug/opp/cpu10/opp:2120000000/supply-0
cpu10,1992000000,900000,900000,900000,214000,1094000,/sys/kernel/debug/opp/cpu10/opp:1992000000/supply-0
cpu10,1844000000,900000,900000,900000,181000,930000,/sys/kernel/debug/opp/cpu10/opp:1844000000/supply-0
cpu10,1696000000,800000,800000,800000,154000,811000,/sys/kernel/debug/opp/cpu10/opp:1696000000/supply-0
cpu10,1594000000,800000,800000,800000,134000,737000,/sys/kernel/debug/opp/cpu10/opp:1594000000/supply-0
cpu10,1479000000,800000,800000,800000,117000,648000,/sys/kernel/debug/opp/cpu10/opp:1479000000/supply-0
cpu10,1364000000,800000,800000,800000,101000,574000,/sys/kernel/debug/opp/cpu10/opp:1364000000/supply-0
cpu10,1239000000,700000,700000,700000,84000,501000,/sys/kernel/debug/opp/cpu10/opp:1239000000/supply-0
cpu4,2150000000,1100000,1100000,1100000,373000,1144000,/sys/kernel/debug/opp/cpu4/opp:2150000000/supply-0
cpu4,2020000000,1000000,1000000,1000000,314000,956000,/sys/kernel/debug/opp/cpu4/opp:2020000000/supply-0
cpu4,1930000000,1000000,1000000,1000000,267000,876000,/sys/kernel/debug/opp/cpu4/opp:1930000000/supply-0
cpu4,1850000000,900000,900000,900000,273000,795000,/sys/kernel/debug/opp/cpu4/opp:1850000000/supply-0
cpu4,1748000000,900000,900000,900000,197000,712000,/sys/kernel/debug/opp/cpu4/opp:1748000000/supply-0
cpu4,1652000000,900000,900000,900000,168000,639000,/sys/kernel/debug/opp/cpu4/opp:1652000000/supply-0
cpu4,1570000000,800000,800000,800000,150000,566000,/sys/kernel/debug/opp/cpu4/opp:1570000000/supply-0
cpu4,1440000000,800000,800000,800000,121000,489000,/sys/kernel/debug/opp/cpu4/opp:1440000000/supply-0
cpu4,1325000000,800000,800000,800000,100000,429000,/sys/kernel/debug/opp/cpu4/opp:1325000000/supply-0
cpu4,1204000000,700000,700000,700000,84000,373000,/sys/kernel/debug/opp/cpu4/opp:1204000000/supply-0
cpu4,1104000000,700000,700000,700000,73000,340000,/sys/kernel/debug/opp/cpu4/opp:1104000000/supply-0
cpu4,999000000,700000,700000,700000,60000,307000,/sys/kernel/debug/opp/cpu4/opp:999000000/supply-0
cpu4,869000000,700000,700000,700000,50000,267000,/sys/kernel/debug/opp/cpu4/opp:869000000/supply-0
cpu4,750000000,600000,600000,600000,41000,230000,/sys/kernel/debug/opp/cpu4/opp:750000000/supply-0
cpu4,692000000,600000,600000,600000,36000,212000,/sys/kernel/debug/opp/cpu4/opp:692000000/supply-0
cpu4,576000000,600000,600000,600000,29000,176000,/sys/kernel/debug/opp/cpu4/opp:576000000/supply-0
cpu4,450000000,550000,550000,550000,22000,137000,/sys/kernel/debug/opp/cpu4/opp:450000000/supply-0
cpu4,418000000,550000,550000,550000,21000,127000,/sys/kernel/debug/opp/cpu4/opp:418000000/supply-0
cpu0,1530000000,850000,850000,850000,73000,212000,/sys/kernel/debug/opp/cpu0/opp:1530000000/supply-0
cpu0,1430000000,800000,800000,800000,61000,185000,/sys/kernel/debug/opp/cpu0/opp:1430000000/supply-0
cpu0,1287000000,800000,800000,800000,49000,152000,/sys/kernel/debug/opp/cpu0/opp:1287000000/supply-0
cpu0,1148000000,700000,700000,700000,43000,130000,/sys/kernel/debug/opp/cpu0/opp:1148000000/supply-0
cpu0,1018000000,700000,700000,700000,36000,108000,/sys/kernel/debug/opp/cpu0/opp:1018000000/supply-0
cpu0,864000000,700000,700000,700000,28000,84000,/sys/kernel/debug/opp/cpu0/opp:864000000/supply-0
cpu0,758000000,600000,600000,600000,24000,71000,/sys/kernel/debug/opp/cpu0/opp:758000000/supply-0
cpu0,668000000,600000,600000,600000,20000,61000,/sys/kernel/debug/opp/cpu0/opp:668000000/supply-0
cpu0,550000000,550000,550000,550000,17000,49000,/sys/kernel/debug/opp/cpu0/opp:550000000/supply-0
cpu0,490000000,550000,550000,550000,16000,43000,/sys/kernel/debug/opp/cpu0/opp:490000000/supply-0
cpu0,418000000,550000,550000,550000,13000,36000,/sys/kernel/debug/opp/cpu0/opp:418000000/supply-0
